geo_fips,geo_name,description,year,value,state_abbr.x,state_abbr.y
11000,District of Columbia,Real GDP (millions of chained 2017 dollars) 1/,2017,134298.8,NA,NA
11000,District of Columbia,Real GDP (millions of chained 2017 dollars) 1/,2018,138056.8,NA,NA
11000,District of Columbia,Real GDP (millions of chained 2017 dollars) 1/,2019,138909.7,NA,NA
11000,District of Columbia,Real GDP (millions of chained 2017 dollars) 1/,2020,137640.8,NA,NA
11000,District of Columbia,Real GDP (millions of chained 2017 dollars) 1/,2021,143141.4,NA,NA
11000,District of Columbia,Real GDP (millions of chained 2017 dollars) 1/,2022,144554.6,NA,NA
11000,District of Columbia,Real GDP (millions of chained 2017 dollars) 1/,2023,146024.3,NA,NA
11000,District of Columbia,Real per capita personal income 4/,2017,72416,NA,NA
11000,District of Columbia,Real per capita personal income 4/,2018,72433,NA,NA
11000,District of Columbia,Real per capita personal income 4/,2019,74139,NA,NA
11000,District of Columbia,Real per capita personal income 4/,2020,78379,NA,NA
11000,District of Columbia,Real per capita personal income 4/,2021,80587,NA,NA
11000,District of Columbia,Real per capita personal income 4/,2022,77304,NA,NA
11000,District of Columbia,Real per capita personal income 4/,2023,80060,NA,NA
11000,District of Columbia,Total employment (number of jobs),2017,902843,NA,NA
11000,District of Columbia,Total employment (number of jobs),2018,914319,NA,NA
11000,District of Columbia,Total employment (number of jobs),2019,915216,NA,NA
11000,District of Columbia,Total employment (number of jobs),2020,866067,NA,NA
11000,District of Columbia,Total employment (number of jobs),2021,869725,NA,NA
11000,District of Columbia,Total employment (number of jobs),2022,895212,NA,NA
11000,District of Columbia,Total employment (number of jobs),2023,913376,NA,NA
12000,Florida,Real GDP (millions of chained 2017 dollars) 1/,2017,1014866.9,FL,FL
12000,Florida,Real GDP (millions of chained 2017 dollars) 1/,2018,1050433.8,FL,FL
12000,Florida,Real GDP (millions of chained 2017 dollars) 1/,2019,1084913.9,FL,FL
12000,Florida,Real GDP (millions of chained 2017 dollars) 1/,2020,1069758.8,FL,FL
12000,Florida,Real GDP (millions of chained 2017 dollars) 1/,2021,1170526.3,FL,FL
12000,Florida,Real GDP (millions of chained 2017 dollars) 1/,2022,1239883.6,FL,FL
12000,Florida,Real GDP (millions of chained 2017 dollars) 1/,2023,1292787.6,FL,FL
12000,Florida,Real per capita personal income 4/,2017,48133,FL,FL
12000,Florida,Real per capita personal income 4/,2018,49932,FL,FL
12000,Florida,Real per capita personal income 4/,2019,52124,FL,FL
12000,Florida,Real per capita personal income 4/,2020,53853,FL,FL
12000,Florida,Real per capita personal income 4/,2021,56443,FL,FL
12000,Florida,Real per capita personal income 4/,2022,54430,FL,FL
12000,Florida,Real per capita personal income 4/,2023,55153,FL,FL
12000,Florida,Total employment (number of jobs),2017,12098388,FL,FL
12000,Florida,Total employment (number of jobs),2018,12556216,FL,FL
12000,Florida,Total employment (number of jobs),2019,12760885,FL,FL
12000,Florida,Total employment (number of jobs),2020,12718985,FL,FL
12000,Florida,Total employment (number of jobs),2021,13456889,FL,FL
12000,Florida,Total employment (number of jobs),2022,14201476,FL,FL
12000,Florida,Total employment (number of jobs),2023,14756561,FL,FL
13000,Georgia,Real GDP (millions of chained 2017 dollars) 1/,2017,583543.3,GA,GA
13000,Georgia,Real GDP (millions of chained 2017 dollars) 1/,2018,600934.7,GA,GA
13000,Georgia,Real GDP (millions of chained 2017 dollars) 1/,2019,620744.9,GA,GA
13000,Georgia,Real GDP (millions of chained 2017 dollars) 1/,2020,604745.9,GA,GA
13000,Georgia,Real GDP (millions of chained 2017 dollars) 1/,2021,643013.8,GA,GA
13000,Georgia,Real GDP (millions of chained 2017 dollars) 1/,2022,665678.1,GA,GA
13000,Georgia,Real GDP (millions of chained 2017 dollars) 1/,2023,678201.2,GA,GA
13000,Georgia,Real per capita personal income 4/,2017,47164,GA,GA
13000,Georgia,Real per capita personal income 4/,2018,48286,GA,GA
13000,Georgia,Real per capita personal income 4/,2019,49762,GA,GA
13000,Georgia,Real per capita personal income 4/,2020,52199,GA,GA
13000,Georgia,Real per capita personal income 4/,2021,53857,GA,GA
13000,Georgia,Real per capita personal income 4/,2022,51597,GA,GA
13000,Georgia,Real per capita personal income 4/,2023,51429,GA,GA
13000,Georgia,Total employment (number of jobs),2017,6128089,GA,GA
13000,Georgia,Total employment (number of jobs),2018,6287460,GA,GA
13000,Georgia,Total employment (number of jobs),2019,6398769,GA,GA
13000,Georgia,Total employment (number of jobs),2020,6326141,GA,GA
13000,Georgia,Total employment (number of jobs),2021,6638710,GA,GA
13000,Georgia,Total employment (number of jobs),2022,6931533,GA,GA
13000,Georgia,Total employment (number of jobs),2023,7136747,GA,GA
15000,Hawaii,Real GDP (millions of chained 2017 dollars) 1/,2017,87436.4,HI,HI
15000,Hawaii,Real GDP (millions of chained 2017 dollars) 1/,2018,88836.4,HI,HI
15000,Hawaii,Real GDP (millions of chained 2017 dollars) 1/,2019,88855.2,HI,HI
15000,Hawaii,Real GDP (millions of chained 2017 dollars) 1/,2020,79840.1,HI,HI
15000,Hawaii,Real GDP (millions of chained 2017 dollars) 1/,2021,84408.5,HI,HI
15000,Hawaii,Real GDP (millions of chained 2017 dollars) 1/,2022,86887.8,HI,HI
15000,Hawaii,Real GDP (millions of chained 2017 dollars) 1/,2023,88614.3,HI,HI
15000,Hawaii,Real per capita personal income 4/,2017,45830,HI,HI
15000,Hawaii,Real per capita personal income 4/,2018,45669,HI,HI
15000,Hawaii,Real per capita personal income 4/,2019,46703,HI,HI
15000,Hawaii,Real per capita personal income 4/,2020,48230,HI,HI
15000,Hawaii,Real per capita personal income 4/,2021,49904,HI,HI
15000,Hawaii,Real per capita personal income 4/,2022,48551,HI,HI
15000,Hawaii,Real per capita personal income 4/,2023,50602,HI,HI
15000,Hawaii,Total employment (number of jobs),2017,921135,HI,HI
15000,Hawaii,Total employment (number of jobs),2018,924352,HI,HI
15000,Hawaii,Total employment (number of jobs),2019,913949,HI,HI
15000,Hawaii,Total employment (number of jobs),2020,817434,HI,HI
15000,Hawaii,Total employment (number of jobs),2021,860684,HI,HI
15000,Hawaii,Total employment (number of jobs),2022,895043,HI,HI
15000,Hawaii,Total employment (number of jobs),2023,920860,HI,HI
16000,Idaho,Real GDP (millions of chained 2017 dollars) 1/,2017,72935.1,ID,ID
16000,Idaho,Real GDP (millions of chained 2017 dollars) 1/,2018,77652.1,ID,ID
16000,Idaho,Real GDP (millions of chained 2017 dollars) 1/,2019,81144.3,ID,ID
16000,Idaho,Real GDP (millions of chained 2017 dollars) 1/,2020,82717.4,ID,ID
16000,Idaho,Real GDP (millions of chained 2017 dollars) 1/,2021,88969.6,ID,ID
16000,Idaho,Real GDP (millions of chained 2017 dollars) 1/,2022,92903.7,ID,ID
16000,Idaho,Real GDP (millions of chained 2017 dollars) 1/,2023,95897.9,ID,ID
16000,Idaho,Real per capita personal income 4/,2017,43698,ID,ID
16000,Idaho,Real per capita personal income 4/,2018,46334,ID,ID
16000,Idaho,Real per capita personal income 4/,2019,48045,ID,ID
16000,Idaho,Real per capita personal income 4/,2020,52230,ID,ID
16000,Idaho,Real per capita personal income 4/,2021,55615,ID,ID
16000,Idaho,Real per capita personal income 4/,2022,53668,ID,ID
16000,Idaho,Real per capita personal income 4/,2023,53944,ID,ID
16000,Idaho,Total employment (number of jobs),2017,1007831,ID,ID
16000,Idaho,Total employment (number of jobs),2018,1041387,ID,ID
16000,Idaho,Total employment (number of jobs),2019,1063420,ID,ID
16000,Idaho,Total employment (number of jobs),2020,1077509,ID,ID
16000,Idaho,Total employment (number of jobs),2021,1136894,ID,ID
16000,Idaho,Total employment (number of jobs),2022,1179656,ID,ID
16000,Idaho,Total employment (number of jobs),2023,1216926,ID,ID
17000,Illinois,Real GDP (millions of chained 2017 dollars) 1/,2017,832826.8,IL,IL
17000,Illinois,Real GDP (millions of chained 2017 dollars) 1/,2018,851517.2,IL,IL
17000,Illinois,Real GDP (millions of chained 2017 dollars) 1/,2019,858018.3,IL,IL
17000,Illinois,Real GDP (millions of chained 2017 dollars) 1/,2020,810200.9,IL,IL
17000,Illinois,Real GDP (millions of chained 2017 dollars) 1/,2021,855888.1,IL,IL
17000,Illinois,Real GDP (millions of chained 2017 dollars) 1/,2022,876536,IL,IL
17000,Illinois,Real GDP (millions of chained 2017 dollars) 1/,2023,885651.3,IL,IL
17000,Illinois,Real per capita personal income 4/,2017,53025,IL,IL
17000,Illinois,Real per capita personal income 4/,2018,54882,IL,IL
17000,Illinois,Real per capita personal income 4/,2019,56182,IL,IL
17000,Illinois,Real per capita personal income 4/,2020,58814,IL,IL
17000,Illinois,Real per capita personal income 4/,2021,60496,IL,IL
17000,Illinois,Real per capita personal income 4/,2022,58388,IL,IL
17000,Illinois,Real per capita personal income 4/,2023,60693,IL,IL
17000,Illinois,Total employment (number of jobs),2017,7823072,IL,IL
17000,Illinois,Total employment (number of jobs),2018,7880803,IL,IL
17000,Illinois,Total employment (number of jobs),2019,7859167,IL,IL
17000,Illinois,Total employment (number of jobs),2020,7519081,IL,IL
17000,Illinois,Total employment (number of jobs),2021,7749922,IL,IL
17000,Illinois,Total employment (number of jobs),2022,7994252,IL,IL
17000,Illinois,Total employment (number of jobs),2023,8177655,IL,IL
18000,Indiana,Real GDP (millions of chained 2017 dollars) 1/,2017,357535.8,IN,IN
18000,Indiana,Real GDP (millions of chained 2017 dollars) 1/,2018,368762.9,IN,IN
18000,Indiana,Real GDP (millions of chained 2017 dollars) 1/,2019,370507.2,IN,IN
18000,Indiana,Real GDP (millions of chained 2017 dollars) 1/,2020,359787.3,IN,IN
18000,Indiana,Real GDP (millions of chained 2017 dollars) 1/,2021,387122,IN,IN
18000,Indiana,Real GDP (millions of chained 2017 dollars) 1/,2022,399280.8,IN,IN
18000,Indiana,Real GDP (millions of chained 2017 dollars) 1/,2023,404290.3,IN,IN
18000,Indiana,Real per capita personal income 4/,2017,49155,IN,IN
18000,Indiana,Real per capita personal income 4/,2018,49297,IN,IN
18000,Indiana,Real per capita personal income 4/,2019,50331,IN,IN
18000,Indiana,Real per capita personal income 4/,2020,54036,IN,IN
18000,Indiana,Real per capita personal income 4/,2021,56891,IN,IN
18000,Indiana,Real per capita personal income 4/,2022,55333,IN,IN
18000,Indiana,Real per capita personal income 4/,2023,55174,IN,IN
18000,Indiana,Total employment (number of jobs),2017,3903424,IN,IN
18000,Indiana,Total employment (number of jobs),2018,3963724,IN,IN
18000,Indiana,Total employment (number of jobs),2019,3969443,IN,IN
18000,Indiana,Total employment (number of jobs),2020,3842872,IN,IN
18000,Indiana,Total employment (number of jobs),2021,3977956,IN,IN
18000,Indiana,Total employment (number of jobs),2022,4107840,IN,IN
18000,Indiana,Total employment (number of jobs),2023,4205137,IN,IN
19000,Iowa,Real GDP (millions of chained 2017 dollars) 1/,2017,187125,IA,IA
19000,Iowa,Real GDP (millions of chained 2017 dollars) 1/,2018,189245.1,IA,IA
19000,Iowa,Real GDP (millions of chained 2017 dollars) 1/,2019,188471.4,IA,IA
19000,Iowa,Real GDP (millions of chained 2017 dollars) 1/,2020,186328.2,IA,IA
19000,Iowa,Real GDP (millions of chained 2017 dollars) 1/,2021,201147.1,IA,IA
19000,Iowa,Real GDP (millions of chained 2017 dollars) 1/,2022,201580.4,IA,IA
19000,Iowa,Real GDP (millions of chained 2017 dollars) 1/,2023,202051.4,IA,IA
19000,Iowa,Real per capita personal income 4/,2017,52520,IA,IA
19000,Iowa,Real per capita personal income 4/,2018,52149,IA,IA
19000,Iowa,Real per capita personal income 4/,2019,52367,IA,IA
19000,Iowa,Real per capita personal income 4/,2020,55657,IA,IA
19000,Iowa,Real per capita personal income 4/,2021,59628,IA,IA
19000,Iowa,Real per capita personal income 4/,2022,60081,IA,IA
19000,Iowa,Real per capita personal income 4/,2023,58735,IA,IA
19000,Iowa,Total employment (number of jobs),2017,2061826,IA,IA
19000,Iowa,Total employment (number of jobs),2018,2076505,IA,IA
19000,Iowa,Total employment (number of jobs),2019,2071286,IA,IA
19000,Iowa,Total employment (number of jobs),2020,2010886,IA,IA
19000,Iowa,Total employment (number of jobs),2021,2055845,IA,IA
19000,Iowa,Total employment (number of jobs),2022,2094636,IA,IA
19000,Iowa,Total employment (number of jobs),2023,2134298,IA,IA
20000,Kansas,Real GDP (millions of chained 2017 dollars) 1/,2017,166273.6,KS,KS
20000,Kansas,Real GDP (millions of chained 2017 dollars) 1/,2018,169796.9,KS,KS
20000,Kansas,Real GDP (millions of chained 2017 dollars) 1/,2019,169562.3,KS,KS
20000,Kansas,Real GDP (millions of chained 2017 dollars) 1/,2020,168056.8,KS,KS
20000,Kansas,Real GDP (millions of chained 2017 dollars) 1/,2021,172782.4,KS,KS
20000,Kansas,Real GDP (millions of chained 2017 dollars) 1/,2022,177470.1,KS,KS
20000,Kansas,Real GDP (millions of chained 2017 dollars) 1/,2023,183795.6,KS,KS
20000,Kansas,Real per capita personal income 4/,2017,52843,KS,KS
20000,Kansas,Real per capita personal income 4/,2018,53374,KS,KS
20000,Kansas,Real per capita personal income 4/,2019,54420,KS,KS
20000,Kansas,Real per capita personal income 4/,2020,57229,KS,KS
20000,Kansas,Real per capita personal income 4/,2021,59476,KS,KS
20000,Kansas,Real per capita personal income 4/,2022,59919,KS,KS
20000,Kansas,Real per capita personal income 4/,2023,61032,KS,KS
20000,Kansas,Total employment (number of jobs),2017,1913433,KS,KS
20000,Kansas,Total employment (number of jobs),2018,1925926,KS,KS
20000,Kansas,Total employment (number of jobs),2019,1923958,KS,KS
20000,Kansas,Total employment (number of jobs),2020,1878516,KS,KS
20000,Kansas,Total employment (number of jobs),2021,1920138,KS,KS
20000,Kansas,Total employment (number of jobs),2022,1953150,KS,KS
20000,Kansas,Total employment (number of jobs),2023,1998292,KS,KS
21000,Kentucky,Real GDP (millions of chained 2017 dollars) 1/,2017,203564,KY,KY
21000,Kentucky,Real GDP (millions of chained 2017 dollars) 1/,2018,205940.1,KY,KY
