fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,total_obligation
2021,48453,TX,Department of Defense,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,true,true,false,464426.05
2021,50027,VT,General Services Administration,339999,ALL OTHER MISCELLANEOUS MANUFACTURING,true,false,false,804123.82
2021,51013,VA,Department of Defense,541613,MARKETING CONSULTING SERVICES,true,true,true,1075835.11
2021,37051,NC,Department of Defense,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,true,true,false,15707454.35
2021,39113,OH,Department of Defense,335999,ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,true,false,true,520038.72
2021,51810,VA,Department of Defense,333912,AIR AND GAS COMPRESSOR MANUFACTURING,true,false,false,6517631.1000000015
2021,42091,PA,Department of Defense,333999,ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING,true,false,false,2755637.590000001
2021,21107,KY,Department of Defense,336360,MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING,true,false,false,25723.399999999998
2021,21147,KY,Department of Defense,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,true,false,false,312854.14
2021,21101,KY,Department of Defense,336350,MOTOR VEHICLE TRANSMISSION AND POWER TRAIN PARTS MANUFACTURING,true,false,false,654702.48
2021,36103,NY,General Services Administration,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,true,false,true,152413.49
2021,24031,MD,Department of Defense,332919,OTHER METAL VALVE AND PIPE FITTING MANUFACTURING,true,false,false,146681.88999999998
2021,26039,MI,Department of Defense,336390,OTHER MOTOR VEHICLE PARTS MANUFACTURING,true,false,false,139908.38
2021,42017,PA,Department of Defense,334416,"CAPACITOR, RESISTOR, COIL, TRANSFORMER, AND OTHER INDUCTOR MANUFACTURING",true,false,false,797313.6000000002
2021,39057,OH,Department of Defense,336120,HEAVY DUTY TRUCK MANUFACTURING,true,false,false,79871.2
2021,26099,MI,Department of Defense,332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING,true,false,true,300279.38
2021,42109,PA,Department of Defense,333613,MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING,true,false,false,183061.13
2021,01097,AL,Department of Defense,332722,"BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",true,false,false,116715.20000000001
2021,36103,NY,Department of Defense,336360,MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING,true,false,true,46109.69
2021,18039,IN,Department of Defense,314910,TEXTILE BAG AND CANVAS MILLS,true,false,false,136190.15999999997
2021,42017,PA,Department of Defense,334413,SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING,true,false,false,518925.20000000007
2021,21111,KY,Department of Defense,334514,TOTALIZING FLUID METER AND COUNTING DEVICE MANUFACTURING,true,false,false,6945.0
2021,36081,NY,Department of Defense,339991,"GASKET, PACKING, AND SEALING DEVICE MANUFACTURING",true,false,false,75688.0
2021,45019,SC,Department of Defense,336390,OTHER MOTOR VEHICLE PARTS MANUFACTURING,true,false,true,274018.37999999995
2021,34005,NJ,Department of Defense,332911,INDUSTRIAL VALVE MANUFACTURING,true,false,false,402747.2200000001
2021,50025,VT,Department of Defense,333999,ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING,true,true,false,24021.0
2021,24033,MD,Department of Agriculture,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,612835.82
2021,42017,PA,Department of Defense,332613,SPRING MANUFACTURING,true,false,false,414136.59999999986
2021,42017,PA,Department of Defense,334519,OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,true,false,false,2867353.79
