fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,is_minority_owned,total_obligation
2022,42125,PA,Department of the Treasury,517919,ALL OTHER TELECOMMUNICATIONS,true,false,false,false,54745.439999999995
2022,51107,VA,Department of Defense,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,false,22428955.04
2022,16011,ID,Department of Agriculture,238120,STRUCTURAL STEEL AND PRECAST CONCRETE CONTRACTORS,true,false,false,false,65450.0
2022,51510,VA,Department of Justice,541512,COMPUTER SYSTEMS DESIGN SERVICES,true,false,true,false,21081150.009999998
2022,42091,PA,Department of Defense,332618,OTHER FABRICATED WIRE PRODUCT MANUFACTURING,true,false,false,false,325212.81999999995
2022,06071,CA,Department of Defense,332111,IRON AND STEEL FORGING,true,false,false,true,180625.6
2022,51810,VA,Department of Defense,332510,HARDWARE MANUFACTURING,true,false,false,false,1540962.36
2022,42021,PA,Department of Defense,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,false,false,false,24945963.21
2022,11001,DC,Millennium Challenge Corporation,541519,OTHER COMPUTER RELATED SERVICES,true,true,false,false,2008296.9
2022,06071,CA,Department of Defense,561320,TEMPORARY HELP SERVICES,true,false,true,true,0.0
2022,06095,CA,Department of Agriculture,333924,"INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",true,false,false,false,228047.54
2022,48439,TX,Department of Defense,541330,ENGINEERING SERVICES,true,true,false,false,17268896.4
2022,34021,NJ,Department of Defense,332439,OTHER METAL CONTAINER MANUFACTURING,true,false,false,false,1466521.39
2022,06017,CA,Department of Defense,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,false,false,false,12585002.650000002
2022,42017,PA,Department of Defense,332510,HARDWARE MANUFACTURING,true,true,false,false,369247.60999999987
2022,51710,VA,Department of Defense,237110,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,true,false,false,false,3418515.27
2022,13051,GA,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,true,7296497.559999999
2022,25011,MA,Department of Defense,333613,MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING,true,false,true,true,1050.7
2022,11001,DC,Department of Defense,334310,AUDIO AND VIDEO EQUIPMENT MANUFACTURING,true,false,false,false,907854.38
2022,06111,CA,General Services Administration,336112,LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,true,false,true,false,586126.0
2022,33015,NH,Department of Defense,334419,OTHER ELECTRONIC COMPONENT MANUFACTURING,true,false,false,false,227005.37000000002
2022,34007,NJ,Department of Defense,332618,OTHER FABRICATED WIRE PRODUCT MANUFACTURING,true,false,false,true,127009.1
2022,51540,VA,Department of the Treasury,541519,OTHER COMPUTER RELATED SERVICES,true,false,false,true,2326837.58
2022,53061,WA,Department of Defense,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,false,false,false,3787325.42
2022,11001,DC,Peace Corps,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,true,true,false,false,283872.0
2022,45003,SC,Department of Agriculture,115310,SUPPORT ACTIVITIES FOR FORESTRY,true,false,false,false,233803.4
2022,51650,VA,Department of Defense,334513,"INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",true,false,false,false,374977.95999999996
2022,27053,MN,Department of Veterans Affairs,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,true,true,false,false,614084.52
2022,48339,TX,Department of Defense,332510,HARDWARE MANUFACTURING,true,true,false,false,103008.14000000003
2022,24031,MD,Department of Defense,332710,MACHINE SHOPS,true,true,false,false,115771.23999999999
2022,06111,CA,Department of Defense,541330,ENGINEERING SERVICES,true,true,false,false,23741258.29
2022,13073,GA,Department of Defense,423450,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",true,false,true,false,8255583.36
2022,24015,MD,Department of Veterans Affairs,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,true,false,1285090.6199999999
2022,04013,AZ,Department of Veterans Affairs,541330,ENGINEERING SERVICES,true,false,true,false,732654.27
2022,28087,MS,Department of Defense,561621,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),true,false,false,false,81547.56
2022,26163,MI,Department of Housing and Urban Development,541310,ARCHITECTURAL SERVICES,true,false,false,false,227225.0
2022,20173,KS,Department of Justice,561421,TELEPHONE ANSWERING SERVICES,true,true,false,false,1020.0
2022,05091,AR,General Services Administration,337122,NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING,true,false,true,true,630.0
2022,04019,AZ,Department of Defense,238910,SITE PREPARATION CONTRACTORS,true,false,false,true,1214315.6
2022,11001,DC,Department of Defense,336212,TRUCK TRAILER MANUFACTURING,true,false,false,false,447952.9
2022,53061,WA,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,true,true,1900580.71
