fiscal_year,county_fips,state,agency,naics_code,naics_description,is_small_business,is_woman_owned,is_veteran_owned,total_obligation
2022,42017,PA,Department of Defense,332119,"METAL CROWN, CLOSURE, AND OTHER METAL STAMPING (EXCEPT AUTOMOTIVE)",true,false,false,73518.96999999999
2022,04013,AZ,Department of Defense,333611,TURBINE AND TURBINE GENERATOR SET UNITS MANUFACTURING,true,false,true,32655.0
2022,51059,VA,Department of Transportation,334111,ELECTRONIC COMPUTER MANUFACTURING,true,false,false,1671781.9200000004
2022,35001,NM,Department of Health and Human Services,334513,"INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",true,false,false,26600.0
2022,13089,GA,Department of the Treasury,541199,ALL OTHER LEGAL SERVICES,true,false,false,269096.07999999996
2022,29189,MO,Department of Defense,333316,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,true,false,false,249114.45
2022,53033,WA,Department of Veterans Affairs,333318,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,true,true,false,23497.12
2022,35001,NM,Department of Defense,333924,"INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",true,false,false,95771.75
2022,28149,MS,Department of Defense,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",true,false,true,1345766.96
2022,41037,OR,Department of Agriculture,541370,SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,true,false,false,392702.44
2022,47173,TN,General Services Administration,327910,ABRASIVE PRODUCT MANUFACTURING,true,true,false,156736.56
2022,53035,WA,Department of Defense,336611,SHIP BUILDING AND REPAIRING,true,false,false,20311277.86
2022,48491,TX,Department of Veterans Affairs,337127,INSTITUTIONAL FURNITURE MANUFACTURING,true,true,true,112557.57
2022,01089,AL,Department of Defense,541519,OTHER COMPUTER RELATED SERVICES,true,false,true,12414439.99
2022,51107,VA,Department of the Treasury,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,true,true,false,24712085.090000004
2022,24031,MD,Department of Defense,511210,SOFTWARE PUBLISHERS,true,false,false,7660865.14
2022,45051,SC,Department of Defense,336411,AIRCRAFT MANUFACTURING,true,false,true,49652.4
2022,36071,NY,Department of Defense,722310,FOOD SERVICE CONTRACTORS,true,false,false,9348170.6
2022,11001,DC,Department of Commerce,541519,OTHER COMPUTER RELATED SERVICES,true,false,true,16727772.200000001
2022,51107,VA,Department of Defense,334513,"INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",true,false,false,124009.45
2022,41019,OR,Department of Transportation,238210,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,true,false,false,256979.5
2022,37129,NC,Department of Defense,541370,SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,true,true,false,455519.0
2022,34009,NJ,Department of Homeland Security,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,true,2278876.0
2022,51013,VA,Department of Homeland Security,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,true,false,false,617820.3400000001
2022,51013,VA,Department of State,541330,ENGINEERING SERVICES,true,false,true,27086646.31
2022,11001,DC,Department of Homeland Security,541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",true,true,false,24933299.26
2022,06115,CA,Department of Defense,711130,MUSICAL GROUPS AND ARTISTS,true,false,false,8030.0
2022,40039,OK,Department of Health and Human Services,561210,FACILITIES SUPPORT SERVICES,true,false,false,1300796.13
2022,38101,ND,Department of Defense,337122,NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING,true,false,false,708934.68
2022,48061,TX,Department of Homeland Security,237990,OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,true,false,false,5530650.579999999
2022,12001,FL,Smithsonian Institution,541930,TRANSLATION AND INTERPRETATION SERVICES,true,true,false,5465.0
2022,36047,NY,Department of Defense,315280,OTHER CUT AND SEW APPAREL MANUFACTURING,true,false,false,83064.88
2022,47187,TN,Department of Defense,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,true,false,true,105133.15000000002
2022,36103,NY,Department of Defense,332510,HARDWARE MANUFACTURING,true,true,false,511102.20999999996
2022,06037,CA,Department of Homeland Security,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,true,true,false,132791.63
2022,37119,NC,Department of Veterans Affairs,339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,true,false,false,49775.850000000006
2022,36047,NY,Department of Defense,315210,CUT AND SEW APPAREL CONTRACTORS,true,false,false,3407230.61
2022,42017,PA,Department of Defense,335999,ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,true,true,false,304455.44999999995
2022,47157,TN,Department of Defense,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,true,false,false,479328.08999999997
2022,12113,FL,Department of Defense,561730,LANDSCAPING SERVICES,true,true,false,719008.0
2022,17031,IL,General Services Administration,541330,ENGINEERING SERVICES,true,false,false,295023.80000000005
2022,06059,CA,Department of Defense,811219,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,true,false,false,2775596.1400000006
2022,06059,CA,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,false,false,758386.71
2022,36061,NY,Department of Veterans Affairs,621512,DIAGNOSTIC IMAGING CENTERS,true,false,true,1562500.04
2022,16049,ID,Department of Agriculture,541330,ENGINEERING SERVICES,true,false,false,971104.2799999999
2022,55079,WI,Department of Defense,326220,RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING,true,true,true,37982.14
2022,42101,PA,Department of the Treasury,326122,PLASTICS PIPE AND PIPE FITTING MANUFACTURING,true,false,false,32177.75
2022,21111,KY,Department of Defense,334111,ELECTRONIC COMPUTER MANUFACTURING,true,false,true,59032.490000000005
2022,55027,WI,Department of the Interior,337211,WOOD OFFICE FURNITURE MANUFACTURING,true,false,false,0.0
2022,35049,NM,Department of Agriculture,115310,SUPPORT ACTIVITIES FOR FORESTRY,true,true,false,32881151.689999998
2022,24031,MD,Department of Health and Human Services,541714,RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY (EXCEPT NANOBIOTECHNOLOGY),true,false,false,46208537.64
2022,72065,PR,Department of Agriculture,333111,FARM MACHINERY AND EQUIPMENT MANUFACTURING,true,false,false,67362.73
2022,36103,NY,Department of Defense,336412,AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,true,false,false,12575919.97
2022,13121,GA,Department of Veterans Affairs,811412,APPLIANCE REPAIR AND MAINTENANCE,true,false,true,2770.0
2022,13021,GA,General Services Administration,444130,HARDWARE STORES,true,false,false,5470.15
2022,51059,VA,Department of Defense,336320,MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING,true,false,true,1173780.7999999998
2022,28081,MS,General Services Administration,339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,true,false,false,44378.0
2022,48441,TX,Department of Defense,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,true,true,false,8340410.039999999
2022,06083,CA,Department of Defense,327215,GLASS PRODUCT MANUFACTURING MADE OF PURCHASED GLASS,true,false,true,33979.92
